Date,Staff,Students,Other,Total
2021-01-04,3,5,0,8
2021-01-05,2,4,0,6
2021-01-06,3,3,0,6
2021-01-07,2,6,0,8
2021-01-08,2,3,0,5
2021-01-09,3,1,0,4
2021-01-10,0,3,2,5
2021-01-11,6,0,2,8
2021-01-12,6,3,0,9
2021-01-13,2,3,1,6
2021-01-14,1,6,0,7
2021-01-15,1,7,0,8
2021-01-16,0,3,0,3
2021-01-17,2,1,0,3
2021-01-18,2,2,0,4
2021-01-19,2,3,0,5
2021-01-20,1,2,0,3
2021-01-21,1,3,0,4
2021-01-22,0,0,1,1
2021-01-23,0,0,0,0
2021-01-24,1,4,0,5
2021-01-25,2,2,0,4
2021-01-26,1,2,0,3
2021-01-27,0,2,0,2
2021-01-28,0,1,0,1
2021-01-29,1,0,0,1
2021-01-30,1,1,0,2
2021-01-31,1,1,0,2
2021-02-01,0,5,0,5
2021-02-02,0,1,0,1
2021-02-03,1,1,0,2
2021-02-04,0,4,0,4
2021-02-05,1,0,0,1
2021-02-06,1,3,0,4
2021-02-07,1,0,0,1
2021-02-08,1,2,0,3
2021-02-09,1,0,0,1
2021-02-10,0,2,0,2
2021-02-11,0,0,0,0
2021-02-12,0,0,0,0
2021-02-13,0,2,0,2
2021-02-14,0,0,0,0
2021-02-15,0,2,0,2
2021-02-16,1,1,0,2
2021-02-17,1,1,0,2
2021-02-18,1,3,0,4
2021-02-19,2,0,0,2
2021-02-20,0,0,0,0
2021-02-21,0,0,0,0
2021-02-22,1,1,0,2
2021-02-23,0,2,0,2
2021-02-24,0,0,0,0
2021-02-25,1,0,0,1
2021-02-26,0,0,0,0
2021-02-27,0,0,0,0
2021-02-28,0,1,0,1
